City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Balaka,MW,74.59,clear sky,-14.9793,34.9558,Sun Village Lodge
4,Mattru,SL,71.47,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
8,New Norfolk,AU,66.65,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
13,Busselton,AU,62.04,broken clouds,-33.65,115.3333,Observatory Guest House
14,Hasaki,JP,68.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
15,Ozieri,IT,64.02,overcast clouds,40.586,9.0012,B&B Santu Larentu
17,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
19,Puerto Ayora,EC,69.08,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Kirakira,SB,86.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
24,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
26,Atuona,PF,78.82,clear sky,-9.8,-139.0333,Villa Enata
28,Ribeira Grande,PT,71.04,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
29,Jalu,LY,64.54,broken clouds,29.0331,21.5482,صاحبة الفخامة
30,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
34,Port Alfred,ZA,66.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
35,Saint-Philippe,RE,75.47,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,Rikitea,PF,73.09,overcast clouds,-23.1203,-134.9692,People ThankYou
37,Esperance,AU,69.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
38,Hobart,AU,67.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
40,Hobyo,SO,79.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
41,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
42,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
45,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
48,Shimoda,JP,68.36,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
49,Cape Town,ZA,60.1,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
51,Sao Joao Da Barra,BR,70.52,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
52,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Bambanglipuro,ID,83.37,overcast clouds,-7.95,110.2833,Puri Brata
56,San Vicente,AR,60.82,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
57,Fukue,JP,70.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
58,East London,ZA,61.74,clear sky,-33.0153,27.9116,Tu Casa
60,Maragogi,BR,76.21,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
62,Arraial Do Cabo,BR,69.69,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Sinnamary,GF,78.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
64,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Namibe,AO,63.57,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
69,Sechura,PE,66.38,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
71,San Patricio,US,75.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
73,Beira,MZ,69.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
74,Inongo,CD,69.53,overcast clouds,-1.95,18.2667,Hotel Du Lac
75,Tabou,CI,76.64,overcast clouds,4.423,-7.3528,hotêl doufoulougou
77,Mount Gambier,AU,69.71,clear sky,-37.8333,140.7667,The Commodore
80,Bengkulu,ID,83.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,Hambantota,LK,84.54,light rain,6.1241,81.1185,Bungalow 63
85,Akyab,MM,82.51,broken clouds,20.15,92.9,Hotel Memory
88,Burnie,AU,63.91,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
90,Havelock,US,62.55,scattered clouds,34.8791,-76.9013,Sherwood Motel
93,Bredasdorp,ZA,62.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
94,San Quintin,MX,61.93,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
98,Ntungamo,UG,63.9,overcast clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
100,Huarmey,PE,64.06,few clouds,-10.0681,-78.1522,Hotel Miramar
101,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
102,Victoria,HK,82.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
104,San Cristobal,VE,64.58,light rain,7.7669,-72.225,Posada Villaven C.A.
105,Broken Hill,AU,80.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
107,Atar,MR,78.28,clear sky,20.5169,-13.0499,Oumou Elghoura
108,Buala,SB,83.34,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
110,Ramnagar,IN,71.47,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
112,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
113,Awbari,LY,64.65,clear sky,26.5921,12.7805,فندق أوباري
114,Cidreira,BR,67.46,clear sky,-30.1811,-50.2056,Hotel Castelo
115,Coxim,BR,75.74,clear sky,-18.5067,-54.76,Hotel Avenida
118,Matara,LK,81.73,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
119,Jardim,BR,72.46,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
121,Baran,IN,75.11,clear sky,25.1,76.5167,Hotel shree ji
123,Sambava,MG,76.75,light rain,-14.2667,50.1667,Melrose
125,Ambilobe,MG,78.28,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
126,Puerto Baquerizo Moreno,EC,68.9,few clouds,-0.9,-89.6,Hotel los Algarrobos
127,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
130,Sibolga,ID,83.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
132,Sao Filipe,CV,79.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
137,Saldanha,ZA,62.65,light rain,-33.0117,17.9442,Blue Bay Lodge
143,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
144,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
146,Ulladulla,AU,80.76,broken clouds,-35.35,150.4667,Sandpiper Motel
151,Eyl,SO,78.89,scattered clouds,7.9803,49.8164,Amiin Hotel
153,Port Lincoln,AU,69.46,few clouds,-34.7333,135.8667,Port Lincoln Hotel
154,Quarai,BR,69.93,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
155,Makakilo City,US,79.29,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
158,Stephenville,US,66.33,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
159,Araguaina,BR,79.86,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
161,Bat Khela,PK,66.09,clear sky,34.6167,71.9714,Electric and pipe fitting
167,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
169,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
173,Pokhara,NP,62.96,overcast clouds,28.2333,83.9833,Butterfly Lodge
174,Saint George,US,67.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
176,Iracoubo,GF,79.07,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
177,Guilin,CN,62.71,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
178,Pasighat,IN,79.23,scattered clouds,28.0667,95.3333,Siang Guest House
182,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
183,Wajima,JP,63.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
186,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
188,Namatanai,PG,85.5,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
190,Sakakah,SA,71.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
197,Labis,MY,85.06,overcast clouds,2.385,103.021,Labis Sunrise Farm
