City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Turka,UA,2021-10-31 23:44:16,49.1541,23.0297,41.94,63,0,5.68
1,Margate,GB,2021-10-31 23:44:16,51.3813,1.3862,52.7,77,29,4.0
2,Chiojdeanca,RO,2021-10-31 23:44:17,45.1667,26.2667,47.52,66,94,1.66
3,Bethel,US,2021-10-31 23:44:17,41.3712,-73.414,58.93,87,90,9.22
4,Saint-Pierre,RE,2021-10-31 23:40:19,-21.3393,55.4781,68.29,77,0,5.75
5,Severo-Kurilsk,RU,2021-10-31 23:44:17,50.6789,156.125,35.51,55,98,26.49
6,Hovd,MN,2021-10-31 23:43:21,48.0056,91.6419,34.5,41,84,14.32
7,Wewak,PG,2021-10-31 23:44:18,-3.5534,143.6268,79.45,91,100,9.8
8,Beringovskiy,RU,2021-10-31 23:44:18,63.05,179.3167,7.34,89,98,13.22
9,Homer,US,2021-10-31 23:44:18,59.6425,-151.5483,49.89,62,75,3.44
10,Hithadhoo,MV,2021-10-31 23:44:18,-0.6,73.0833,81.86,78,100,19.08
11,Srednekolymsk,RU,2021-10-31 23:44:19,67.45,153.6833,-7.15,98,90,5.57
12,Hobart,AU,2021-10-31 23:44:19,-42.8794,147.3294,62.02,58,75,5.99
13,Ushuaia,AR,2021-10-31 23:42:52,-54.8,-68.3,47.86,71,0,6.91
14,Ponta Do Sol,PT,2021-10-31 23:44:19,32.6667,-17.1,74.03,77,58,4.29
15,Nikolskoye,RU,2021-10-31 23:44:20,59.7035,30.7861,47.01,85,93,7.76
16,Atuona,PF,2021-10-31 23:43:33,-9.8,-139.0333,78.94,73,3,17.45
17,Bengkulu,ID,2021-10-31 23:40:07,-3.8004,102.2655,77.63,85,100,4.18
18,Tiksi,RU,2021-10-31 23:44:20,71.6872,128.8694,14.18,81,100,11.72
19,Saint-Augustin,CA,2021-10-31 23:44:20,51.226,-58.6502,44.51,67,98,6.64
20,Uchaly,RU,2021-10-31 23:44:21,54.2996,59.4521,41.0,84,100,9.75
21,Swift Current,CA,2021-10-31 23:44:21,50.2834,-107.8014,34.61,51,1,14.97
22,Asau,RO,2021-10-31 23:44:21,46.4333,26.4,43.72,88,0,3.06
23,Mataura,NZ,2021-10-31 23:40:08,-46.1927,168.8643,62.49,45,78,11.21
24,Lagoa,PT,2021-10-31 23:44:22,39.05,-27.9833,69.26,89,100,2.08
25,Albany,US,2021-10-31 23:41:27,42.6001,-73.9662,56.23,79,98,1.01
26,Lompoc,US,2021-10-31 23:44:22,34.6391,-120.4579,69.69,72,1,17.27
27,Busselton,AU,2021-10-31 23:44:22,-33.65,115.3333,57.04,63,96,17.54
28,Punta Arenas,CL,2021-10-31 23:44:23,-53.15,-70.9167,51.91,54,0,20.71
29,Vaini,TO,2021-10-31 23:41:16,-21.2,-175.2,80.76,83,20,9.22
30,Ilulissat,GL,2021-10-31 23:43:49,69.2167,-51.1,33.82,86,75,14.97
31,Awjilah,LY,2021-10-31 23:44:23,29.1081,21.2869,65.34,82,67,7.0
32,Kirakira,SB,2021-10-31 23:44:24,-10.4544,161.9205,86.41,63,68,11.88
33,Torbay,CA,2021-10-31 23:44:24,47.6666,-52.7314,44.28,93,90,20.71
34,Payakumbuh,ID,2021-10-31 23:44:24,-0.2202,100.6308,70.41,97,100,1.68
