City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nanortalik,GL,2021-11-01 03:27:28,60.1432,-45.2371,33.62,67,70,9.51,broken clouds
1,Ostrovnoy,RU,2021-11-01 03:29:20,68.0531,39.5131,30.16,88,86,14.92,overcast clouds
2,Qaqortoq,GL,2021-11-01 03:29:07,60.7167,-46.0333,27.1,63,26,6.89,scattered clouds
3,Balaka,MW,2021-11-01 03:29:20,-14.9793,34.9558,74.59,59,6,0.69,clear sky
4,Mattru,SL,2021-11-01 03:29:20,7.6244,-11.8332,71.47,98,100,0.81,light rain
5,Qaanaaq,GL,2021-11-01 03:29:21,77.484,-69.3632,17.78,80,100,9.06,overcast clouds
6,Xunchang,CN,2021-11-01 03:29:21,28.4543,104.715,56.44,94,100,1.25,overcast clouds
7,Sitka,US,2021-11-01 03:29:22,57.0531,-135.33,49.89,40,75,6.91,broken clouds
8,New Norfolk,AU,2021-11-01 03:28:53,-42.7826,147.0587,66.65,43,100,3.0,overcast clouds
9,Ushuaia,AR,2021-11-01 03:25:58,-54.8,-68.3,46.06,71,0,3.44,clear sky
10,Qasigiannguit,GL,2021-11-01 03:29:22,68.8193,-51.1922,32.25,95,100,6.58,overcast clouds
11,Saskylakh,RU,2021-11-01 03:29:22,71.9167,114.0833,3.61,97,98,6.06,overcast clouds
12,Tautira,PF,2021-11-01 03:29:23,-17.7333,-149.15,84.22,76,59,15.17,broken clouds
13,Busselton,AU,2021-11-01 03:29:23,-33.65,115.3333,62.04,56,73,20.83,broken clouds
14,Hasaki,JP,2021-11-01 03:27:28,35.7333,140.8333,68.29,69,100,4.81,overcast clouds
15,Ozieri,IT,2021-11-01 03:29:23,40.586,9.0012,64.02,97,99,4.21,overcast clouds
16,Ust-Tsilma,RU,2021-11-01 03:29:24,65.441,52.1498,5.22,96,66,3.76,broken clouds
17,Butaritari,KI,2021-11-01 03:24:45,3.0707,172.7902,82.58,73,2,10.89,light rain
18,Chortkiv,UA,2021-11-01 03:29:24,49.0171,25.798,36.86,89,0,12.53,clear sky
19,Puerto Ayora,EC,2021-11-01 03:29:24,-0.7393,-90.3518,69.08,91,41,6.6,scattered clouds
20,Yellowknife,CA,2021-11-01 03:29:25,62.456,-114.3525,33.42,99,90,10.36,overcast clouds
21,Vaini,TO,2021-11-01 03:29:25,-21.2,-175.2,80.76,83,20,11.5,few clouds
22,Washington,US,2021-11-01 03:29:20,47.5001,-120.5015,42.57,49,6,3.31,clear sky
23,Kirakira,SB,2021-11-01 03:29:25,-10.4544,161.9205,86.41,64,89,15.3,overcast clouds
24,Antofagasta,CL,2021-11-01 03:25:13,-23.65,-70.4,60.08,74,21,2.8,few clouds
25,Tiksi,RU,2021-11-01 03:29:26,71.6872,128.8694,8.78,86,100,9.95,overcast clouds
26,Atuona,PF,2021-11-01 03:29:26,-9.8,-139.0333,78.82,73,0,18.39,clear sky
27,Alta,NO,2021-11-01 03:29:26,69.9689,23.2717,33.06,81,20,11.5,few clouds
28,Ribeira Grande,PT,2021-11-01 03:29:27,38.5167,-28.7,71.04,87,100,7.58,overcast clouds
